ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
216.58.209.246,par10s29-in-f246.1e100.net,2,0.000188,1574958309.300554,1574958309.3006296,tcp
216.58.213.170,par21s04-in-f170.1e100.net,2,0.00011999999999999999,1574958308.5971007,1574958308.7260625,tcp
74.125.133.188,wo-in-f188.1e100.net,2,0.000148,1574958309.6557333,1574958309.6649914,tcp
74.125.133.188,wo-in-f188.1e100.net,4,0.004569999999999999,1574958309.6828723,1574958309.6923275,tcp
74.125.133.188,wo-in-f188.1e100.net,2,0.00013199999999999998,1574958309.7089736,1574958309.7090096,tcp
74.125.133.188,wo-in-f188.1e100.net,6,0.0015089999999999997,1574958309.729593,1574958309.769331,tcp
216.58.213.170,par21s04-in-f170.1e100.net,2,0.00011999999999999999,1574958308.9734933,1574958309.032433,tcp
216.58.213.170,par21s04-in-f170.1e100.net,2,0.00011999999999999999,1574958309.1464758,1574958309.1628168,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000148,1574958310.2460043,1574958310.250982,tcp
179.60.192.36,edge-star-mini-shv-01-cdg2.facebook.com,2,0.000148,1574958310.2485998,1574958310.2534025,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000148,1574958310.2499871,1574958310.254712,tcp
157.240.21.35,edge-star-mini-shv-01-cdt1.facebook.com,2,0.000148,1574958310.252859,1574958310.2575452,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.002707,1574958310.280149,1574958310.2861118,tcp
179.60.192.36,edge-star-mini-shv-01-cdg2.facebook.com,4,0.000954,1574958310.2936606,1574958310.29923,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.000954,1574958310.299633,1574958310.3051198,tcp
157.240.21.35,edge-star-mini-shv-01-cdt1.facebook.com,4,0.0009559999999999998,1574958310.3035214,1574958310.308955,tcp
179.60.192.36,edge-star-mini-shv-01-cdg2.facebook.com,3,0.00045999999999999996,1574958310.315689,1574958310.3388193,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.00045999999999999996,1574958310.3207178,1574958310.3387597,tcp
157.240.21.35,edge-star-mini-shv-01-cdt1.facebook.com,3,0.00045999999999999996,1574958310.324441,1574958310.3406117,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,5,0.004681,1574958310.527821,1574958310.5280178,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.000277,1574958310.532648,1574958310.5332444,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,8,0.008000999999999998,1574958310.5500333,1574958310.7695138,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,5,0.000654,1574958310.3036127,1574958310.3610451,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,11,0.0012899999999999997,1574958310.90664,1574958310.9143524,tcp
157.240.1.23,xx-fbcdn-shv-01-lht6.fbcdn.net,2,0.000148,1574958311.310859,1574958311.3154302,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000529,1574958310.9443252,1574958310.9605572,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.002596,1574958311.3403995,1574958311.340403,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.003894,1574958311.340438,1574958311.3404436,tcp
157.240.1.23,xx-fbcdn-shv-01-lht6.fbcdn.net,3,0.002721,1574958311.33138,1574958311.3367796,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.000198,1574958311.3565922,1574958311.3566213,tcp
