ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
185.176.27.54,,2,0.000108,1574956665.2964041,1574956665.2964897,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000148,1574956667.1718059,1574956667.1765282,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.000936,1574956667.271204,1574956667.2814608,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.001681,1574956667.3036232,1574956667.3062823,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000899,1574956667.3419404,1574956667.3505175,tcp
172.217.22.138,par21s12-in-f10.1e100.net,2,0.000148,1574956667.3526049,1574956667.3569186,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000651,1574956667.3682573,1574956667.368368,tcp
172.217.22.138,par21s12-in-f10.1e100.net,3,0.0042190000000000005,1574956667.3770146,1574956667.3861651,tcp
172.217.22.138,par21s12-in-f10.1e100.net,2,0.00013199999999999998,1574956667.4041624,1574956667.4042504,tcp
172.217.22.138,par21s12-in-f10.1e100.net,3,0.000613,1574956667.4361262,1574956667.43715,tcp
172.217.22.138,par21s12-in-f10.1e100.net,7,0.0006239999999999999,1574956667.4832692,1574956667.5055795,tcp
172.217.22.138,par21s12-in-f10.1e100.net,3,0.00035899999999999994,1574956667.8395178,1574956668.095291,tcp
172.217.22.138,par21s12-in-f10.1e100.net,2,0.0026,1574956668.4739418,1574956668.4739487,tcp
172.217.22.138,par21s12-in-f10.1e100.net,4,0.00026399999999999997,1574956668.4961228,1574956668.4973345,tcp
216.58.209.234,par10s29-in-f10.1e100.net,2,0.000148,1574956668.6593833,1574956668.6643393,tcp
172.217.18.195,par10s38-in-f3.1e100.net,2,0.000148,1574956668.6670055,1574956668.6717973,tcp
216.58.209.234,par10s29-in-f10.1e100.net,3,0.004629,1574956668.6813476,1574956668.691508,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000148,1574956668.7029438,1574956668.7074575,tcp
216.58.209.234,par10s29-in-f10.1e100.net,2,0.00013199999999999998,1574956668.7083168,1574956668.7083316,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.004214,1574956668.7277203,1574956668.7382317,tcp
216.58.209.234,par10s29-in-f10.1e100.net,2,0.0007819999999999999,1574956668.7627325,1574956668.7660341,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00013199999999999998,1574956668.7574162,1574956668.757457,tcp
172.217.18.195,par10s38-in-f3.1e100.net,3,0.004079999999999999,1574956668.7660937,1574956668.775837,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00048499999999999997,1574956668.7844443,1574956668.7844975,tcp
172.217.18.195,par10s38-in-f3.1e100.net,2,0.00013199999999999998,1574956668.7918565,1574956668.7942917,tcp
216.58.213.138,par21s03-in-f138.1e100.net,8,0.003181,1574956668.8221123,1574956668.8647466,tcp
172.217.18.195,par10s38-in-f3.1e100.net,2,0.00048499999999999997,1574956668.8807185,1574956668.8807607,tcp
172.217.18.195,par10s38-in-f3.1e100.net,4,0.0011359999999999999,1574956668.9085813,1574956668.9146643,tcp
172.217.18.195,par10s38-in-f3.1e100.net,2,0.00013199999999999998,1574956668.932068,1574956668.9334354,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.000148,1574956668.9414713,1574956668.945961,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.000148,1574956668.9428797,1574956668.9471815,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00032199999999999997,1574956668.963786,1574956668.9682202,tcp
216.58.204.129,par21s05-in-f1.1e100.net,4,0.005123,1574956668.96391,1574956668.973252,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956668.989489,1574956668.9895504,tcp
216.58.204.129,par21s05-in-f1.1e100.net,2,0.00013199999999999998,1574956668.9933183,1574956668.9934413,tcp
216.58.204.129,par21s05-in-f1.1e100.net,3,0.000644,1574956669.0032258,1574956669.0078259,tcp
216.58.204.129,par21s05-in-f1.1e100.net,7,0.001085,1574956668.999145,1574956669.0229685,tcp
216.58.209.234,par10s29-in-f10.1e100.net,8,0.00168,1574956668.7791355,1574956668.8183277,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000256,1574956668.9789844,1574956668.9834323,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.001565,1574956669.1102176,1574956669.1102211,tcp
216.58.209.234,par10s29-in-f10.1e100.net,2,0.006876999999999999,1574956669.1102102,1574956669.1102245,tcp
216.58.209.234,par10s29-in-f10.1e100.net,3,0.0042450000000000005,1574956669.1115763,1574956669.1121867,tcp
216.58.209.234,par10s29-in-f10.1e100.net,5,0.011122,1574956669.1143398,1574956669.1175778,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.000198,1574956669.1285682,1574956669.1287427,tcp
