ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
66.102.1.188,wb-in-f188.1e100.net,2,0.000148,1574956474.534689,1574956474.5439034,tcp
66.102.1.188,wb-in-f188.1e100.net,3,0.000926,1574956474.5655715,1574956474.5755408,tcp
66.102.1.188,wb-in-f188.1e100.net,8,0.0017029999999999999,1574956474.594726,1574956474.665677,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000148,1574956477.2993674,1574956477.3039124,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.003013,1574956477.3294082,1574956477.3389046,tcp
172.217.19.229,par21s11-in-f5.1e100.net,8,0.002196,1574956477.3555498,1574956477.4458823,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.003126,1574956477.7450264,1574956477.745036,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000361,1574956477.7474923,1574956477.7475917,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00024399999999999997,1574956477.7642422,1574956477.767562,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.001761,1574956477.9870439,1574956477.987078,tcp
216.58.204.133,par21s05-in-f5.1e100.net,2,0.000148,1574956479.0052962,1574956479.009771,tcp
216.58.204.133,par21s05-in-f5.1e100.net,3,0.0029449999999999997,1574956479.029343,1574956479.0385754,tcp
216.58.204.133,par21s05-in-f5.1e100.net,4,0.00071,1574956479.0567465,1574956479.068404,tcp
216.58.204.133,par21s05-in-f5.1e100.net,3,0.000274,1574956479.0900896,1574956479.117973,tcp
216.58.204.133,par21s05-in-f5.1e100.net,2,0.001712,1574956479.215696,1574956479.215732,tcp
216.58.204.133,par21s05-in-f5.1e100.net,6,0.00048799999999999994,1574956479.218086,1574956479.2435095,tcp
172.217.19.229,par21s11-in-f5.1e100.net,12,0.004393,1574956477.9915524,1574956478.092947,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000557,1574956479.7132783,1574956479.7178624,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.00246,1574956479.8260417,1574956479.8263843,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000278,1574956479.8278878,1574956479.8279295,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00024399999999999997,1574956479.85061,1574956479.8534627,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.001922,1574956480.083217,1574956480.083309,tcp
172.217.19.229,par21s11-in-f5.1e100.net,22,0.020265,1574956480.0878875,1574956480.278481,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000584,1574956480.4772089,1574956480.4818563,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.004179,1574956480.5638165,1574956480.5639338,tcp
172.217.19.229,par21s11-in-f5.1e100.net,6,0.0008769999999999998,1574956480.5657444,1574956480.5916953,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000667,1574956480.6643853,1574956480.6689212,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.003953,1574956480.80001,1574956480.8003972,tcp
172.217.19.229,par21s11-in-f5.1e100.net,6,0.0005279999999999999,1574956480.801366,1574956480.8320382,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.0006299999999999999,1574956481.1475112,1574956481.1520665,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.0015519999999999998,1574956481.4067886,1574956481.4085608,tcp
