ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
179.60.192.34,edge-mqtt-mini-shv-01-cdg2.facebook.com,2,0.000163,1574955664.828937,1574955664.8290017,tcp
193.164.197.82,www.leboncoin.fr,2,0.000148,1574955670.1675315,1574955670.1722515,tcp
193.164.197.227,api.leboncoin.fr,2,0.000148,1574955670.2262855,1574955670.2310503,tcp
193.164.197.82,www.leboncoin.fr,2,0.000473,1574955670.2282398,1574955670.233391,tcp
193.164.197.82,www.leboncoin.fr,2,0.000148,1574955670.2649417,1574955670.269752,tcp
193.164.197.227,api.leboncoin.fr,4,0.005473,1574955670.2650096,1574955670.2704387,tcp
216.58.204.142,par21s05-in-f142.1e100.net,2,0.000148,1574955670.2747903,1574955670.2794147,tcp
152.199.23.241,,2,0.00014,1574955670.2790902,1574955670.284077,tcp
193.164.197.82,www.leboncoin.fr,3,0.005403,1574955670.295684,1574955670.301762,tcp
193.164.197.82,www.leboncoin.fr,2,0.00013199999999999998,1574955670.326008,1574955670.3260362,tcp
152.199.23.241,,3,0.004306,1574955670.3177655,1574955670.3240674,tcp
216.58.204.142,par21s05-in-f142.1e100.net,3,0.004489,1574955670.3405936,1574955670.3504426,tcp
193.164.197.227,api.leboncoin.fr,4,0.00026399999999999997,1574955670.3054948,1574955670.305567,tcp
152.199.23.241,,2,0.000108,1574955670.3624337,1574955670.3624446,tcp
216.58.204.142,par21s05-in-f142.1e100.net,2,0.00013199999999999998,1574955670.3995874,1574955670.399615,tcp
152.199.23.241,,3,0.001136,1574955670.4031959,1574955670.429349,tcp
193.164.197.82,www.leboncoin.fr,6,0.001167,1574955670.326285,1574955670.431896,tcp
193.164.197.227,api.leboncoin.fr,4,0.001647,1574955670.4030027,1574955670.4411407,tcp
35.201.78.30,30.78.201.35.bc.googleusercontent.com,2,0.000148,1574955670.4927297,1574955670.4974267,tcp
193.164.197.82,www.leboncoin.fr,2,0.000148,1574955670.525782,1574955670.5304804,tcp
35.201.78.30,30.78.201.35.bc.googleusercontent.com,4,0.003663,1574955670.5258534,1574955670.5331805,tcp
193.164.197.82,www.leboncoin.fr,4,0.005473,1574955670.5473125,1574955670.5528696,tcp
193.164.197.82,www.leboncoin.fr,2,0.00013199999999999998,1574955670.5692165,1574955670.569226,tcp
