ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
188.128.39.127,,2,0.000148,1574960289.4555852,1574960289.4556818,tcp
188.128.39.127,,5,0.0014719999999999998,1574960289.5216188,1574960289.5777683,tcp
188.128.39.127,,4,0.000592,1574960289.6751738,1574960289.7464113,tcp
188.128.39.127,,6,0.0005839999999999999,1574960289.8431127,1574960290.0431054,tcp
216.58.209.238,par10s29-in-f14.1e100.net,2,0.000148,1574960292.2487092,1574960292.253467,tcp
216.58.209.238,par10s29-in-f14.1e100.net,3,0.004488,1574960292.3297827,1574960292.3394825,tcp
216.58.209.238,par10s29-in-f14.1e100.net,2,0.00013199999999999998,1574960292.3612392,1574960292.361253,tcp
216.58.209.238,par10s29-in-f14.1e100.net,3,0.0015470000000000002,1574960292.3753426,1574960292.3800526,tcp
216.58.209.238,par10s29-in-f14.1e100.net,6,0.0018050000000000004,1574960292.4000373,1574960292.5047271,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000148,1574960293.2028275,1574960293.207792,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000642,1574960293.2412105,1574960293.2412624,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000148,1574960293.2281778,1574960293.2330477,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.0005849999999999999,1574960293.2461667,1574960293.246882,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.00028199999999999997,1574960293.273822,1574960293.2739248,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000385,1574960293.2773604,1574960293.2788236,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.000954,1574960293.2595756,1574960293.2651026,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00017999999999999998,1574960293.2825367,1574960293.2980137,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.00045999999999999996,1574960293.2848563,1574960293.2952998,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.0016649999999999998,1574960293.3498034,1574960293.3527927,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.0010379999999999999,1574960293.3763163,1574960293.4143114,tcp
74.125.140.188,wq-in-f188.1e100.net,2,0.000148,1574960293.6295364,1574960293.6386893,tcp
74.125.140.188,wq-in-f188.1e100.net,3,0.000926,1574960293.6692994,1574960293.6786885,tcp
74.125.140.188,wq-in-f188.1e100.net,4,0.0007019999999999999,1574960293.6977348,1574960293.736473,tcp
74.125.140.188,wq-in-f188.1e100.net,2,0.000249,1574960293.7746847,1574960293.774842,tcp
