ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000148,1574955268.2714283,1574955268.2762702,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000148,1574955268.27149,1574955268.276363,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.003512,1574955268.2961044,1574955268.301637,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.003446,1574955268.2960453,1574955268.301676,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00013199999999999998,1574955268.3360965,1574955268.3361142,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00013199999999999998,1574955268.3361456,1574955268.3361607,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.0010279999999999998,1574955268.374489,1574955268.3909614,tcp
104.199.64.136,136.64.199.104.bc.googleusercontent.com,2,0.000148,1574955269.2317538,1574955269.240792,tcp
104.199.64.136,136.64.199.104.bc.googleusercontent.com,3,0.0008849999999999999,1574955269.2576587,1574955269.2680793,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,2,0.000148,1574955269.4433825,1574955269.4523613,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,3,0.0011510000000000001,1574955269.474015,1574955269.483111,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,4,0.008317,1574955269.5085208,1574955269.5324512,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,3,0.000198,1574955269.5618565,1574955269.5618956,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,8,0.007189,1574955269.5647972,1574955269.579146,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,2,0.00017099999999999998,1574955269.594223,1574955269.595385,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,11,0.011264000000000001,1574955269.6042805,1574955269.668616,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,2,0.0007160000000000001,1574955269.6864228,1574955269.6952672,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000148,1574955269.7175422,1574955269.7218423,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000148,1574955269.717497,1574955269.722273,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,4,0.0033339999999999997,1574955269.7511785,1574955269.7570686,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,4,0.0033339999999999997,1574955269.7511935,1574955269.7574494,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,2,0.00031999999999999997,1574955269.7584383,1574955269.767325,tcp
