ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
157.240.21.16,edge-star-shv-01-cdt1.facebook.com,2,0.000148,1574954447.1074548,1574954447.1122541,tcp
157.240.21.16,edge-star-shv-01-cdt1.facebook.com,6,0.001227,1574954447.203396,1574954447.2153473,tcp
157.240.21.32,edge-mqtt-mini-shv-01-cdt1.facebook.com,2,0.000148,1574954447.2212558,1574954447.2259269,tcp
157.240.21.16,edge-star-shv-01-cdt1.facebook.com,6,0.0018049999999999997,1574954447.2266066,1574954447.2434657,tcp
157.240.21.32,edge-mqtt-mini-shv-01-cdt1.facebook.com,4,0.003542,1574954447.2677639,1574954447.2736115,tcp
157.240.21.32,edge-mqtt-mini-shv-01-cdt1.facebook.com,2,0.00013199999999999998,1574954447.289599,1574954447.2896144,tcp
157.240.21.11,edge-mqtt-shv-01-cdt1.facebook.com,2,0.000148,1574954447.469389,1574954447.4740543,tcp
157.240.21.32,edge-mqtt-mini-shv-01-cdt1.facebook.com,3,0.0006249999999999999,1574954447.4293704,1574954447.4593005,tcp
157.240.21.11,edge-mqtt-shv-01-cdt1.facebook.com,2,0.0008519999999999999,1574954447.5013974,1574954447.5014312,tcp
157.240.21.11,edge-mqtt-shv-01-cdt1.facebook.com,4,0.0005979999999999999,1574954447.5060523,1574954447.5070472,tcp
157.240.21.11,edge-mqtt-shv-01-cdt1.facebook.com,2,0.00013199999999999998,1574954447.5243785,1574954447.5243902,tcp
157.240.21.11,edge-mqtt-shv-01-cdt1.facebook.com,3,0.000401,1574954447.5383499,1574954447.5430996,tcp
216.58.198.202,par10s27-in-f10.1e100.net,2,0.000148,1574954447.7642262,1574954447.7689607,tcp
216.58.198.202,par10s27-in-f10.1e100.net,3,0.0046300000000000004,1574954447.8263183,1574954447.8359058,tcp
216.58.198.202,par10s27-in-f10.1e100.net,2,0.00013199999999999998,1574954447.8605618,1574954447.860609,tcp
47.74.170.158,,4,0.00040899999999999997,1574954447.3192346,1574954447.64933,tcp
216.58.198.202,par10s27-in-f10.1e100.net,4,0.0009139999999999999,1574954447.9325416,1574954447.967449,tcp
157.240.21.11,edge-mqtt-shv-01-cdt1.facebook.com,2,0.00020899999999999998,1574954447.741764,1574954447.786537,tcp
47.74.170.158,,4,0.001372,1574954447.9575613,1574954447.9922683,tcp
47.74.170.158,,2,0.00013199999999999998,1574954448.3413606,1574954448.357023,tcp
